Country,Year,NUMBER,Source_File
Iran,2016,1606,number_of_demonstration_events_by_country-year_as-of-03Ap.xlsx
Iran,2017,2430,number_of_demonstration_events_by_country-year_as-of-03Ap.xlsx
Iran,2018,3001,number_of_demonstration_events_by_country-year_as-of-03Ap.xlsx
Iran,2019,2421,number_of_demonstration_events_by_country-year_as-of-03Ap.xlsx
Iran,2020,1983,number_of_demonstration_events_by_country-year_as-of-03Ap.xlsx
Iran,2021,3986,number_of_demonstration_events_by_country-year_as-of-03Ap.xlsx
Iran,2022,4281,number_of_demonstration_events_by_country-year_as-of-03Ap.xlsx
Iran,2023,3522,number_of_demonstration_events_by_country-year_as-of-03Ap.xlsx
Iran,2024,3668,number_of_demonstration_events_by_country-year_as-of-03Ap.xlsx
Iran,2025,3615,number_of_demonstration_events_by_country-year_as-of-03Ap.xlsx
Iran,2026,2131,number_of_demonstration_events_by_country-year_as-of-03Ap.xlsx
Iran,2016,30,number_of_events_targeting_civilians_by_country-year_as-o.xlsx
Iran,2017,44,number_of_events_targeting_civilians_by_country-year_as-o.xlsx
Iran,2018,75,number_of_events_targeting_civilians_by_country-year_as-o.xlsx
Iran,2019,36,number_of_events_targeting_civilians_by_country-year_as-o.xlsx
Iran,2020,129,number_of_events_targeting_civilians_by_country-year_as-o.xlsx
Iran,2021,123,number_of_events_targeting_civilians_by_country-year_as-o.xlsx
Iran,2022,252,number_of_events_targeting_civilians_by_country-year_as-o.xlsx
Iran,2023,111,number_of_events_targeting_civilians_by_country-year_as-o.xlsx
Iran,2024,63,number_of_events_targeting_civilians_by_country-year_as-o.xlsx
Iran,2025,147,number_of_events_targeting_civilians_by_country-year_as-o.xlsx
Iran,2026,296,number_of_events_targeting_civilians_by_country-year_as-o.xlsx
Iran,2016,98,number_of_political_violence_events_by_country-year_as-of-03Apr2026.xlsx
Iran,2017,92,number_of_political_violence_events_by_country-year_as-of-03Apr2026.xlsx
Iran,2018,134,number_of_political_violence_events_by_country-year_as-of-03Apr2026.xlsx
Iran,2019,90,number_of_political_violence_events_by_country-year_as-of-03Apr2026.xlsx
Iran,2020,208,number_of_political_violence_events_by_country-year_as-of-03Apr2026.xlsx
Iran,2021,206,number_of_political_violence_events_by_country-year_as-of-03Apr2026.xlsx
Iran,2022,304,number_of_political_violence_events_by_country-year_as-of-03Apr2026.xlsx
Iran,2023,204,number_of_political_violence_events_by_country-year_as-of-03Apr2026.xlsx
Iran,2024,162,number_of_political_violence_events_by_country-year_as-of-03Apr2026.xlsx
Iran,2025,620,number_of_political_violence_events_by_country-year_as-of-03Apr2026.xlsx
Iran,2026,2842,number_of_political_violence_events_by_country-year_as-of-03Apr2026.xlsx
Iran,2016,22,number_of_reported_civilian_fatalities_by_country-year_as.xlsx
Iran,2017,34,number_of_reported_civilian_fatalities_by_country-year_as.xlsx
Iran,2018,75,number_of_reported_civilian_fatalities_by_country-year_as.xlsx
Iran,2019,11,number_of_reported_civilian_fatalities_by_country-year_as.xlsx
Iran,2020,290,number_of_reported_civilian_fatalities_by_country-year_as.xlsx
Iran,2021,93,number_of_reported_civilian_fatalities_by_country-year_as.xlsx
Iran,2022,226,number_of_reported_civilian_fatalities_by_country-year_as.xlsx
Iran,2023,96,number_of_reported_civilian_fatalities_by_country-year_as.xlsx
Iran,2024,180,number_of_reported_civilian_fatalities_by_country-year_as.xlsx
Iran,2025,330,number_of_reported_civilian_fatalities_by_country-year_as.xlsx
Iran,2026,5456,number_of_reported_civilian_fatalities_by_country-year_as.xlsx
Iran,2016,264,number_of_reported_fatalities_by_country-year_as-of-03Apr.xlsx
Iran,2017,175,number_of_reported_fatalities_by_country-year_as-of-03Apr.xlsx
Iran,2018,246,number_of_reported_fatalities_by_country-year_as-of-03Apr.xlsx
Iran,2019,466,number_of_reported_fatalities_by_country-year_as-of-03Apr.xlsx
Iran,2020,400,number_of_reported_fatalities_by_country-year_as-of-03Apr.xlsx
Iran,2021,188,number_of_reported_fatalities_by_country-year_as-of-03Apr.xlsx
Iran,2022,717,number_of_reported_fatalities_by_country-year_as-of-03Apr.xlsx
Iran,2023,198,number_of_reported_fatalities_by_country-year_as-of-03Apr.xlsx
Iran,2024,354,number_of_reported_fatalities_by_country-year_as-of-03Apr.xlsx
Iran,2025,1281,number_of_reported_fatalities_by_country-year_as-of-03Apr.xlsx
Iran,2026,29060,number_of_reported_fatalities_by_country-year_as-of-03Apr.xlsx
